GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC05_MOE_VC06,Percent Uninsured; Margin of Error; AGE - Under 18 years - 6 to 17 years
HC01_EST_VC07,Total; Estimate; AGE - 18 to 64 years
HC01_MOE_VC07,Total; Margin of Error; AGE - 18 to 64 years
HC02_EST_VC07,Insured; Estimate; AGE - 18 to 64 years
HC02_MOE_VC07,Insured; Margin of Error; AGE - 18 to 64 years
HC03_EST_VC07,Percent Insured; Estimate; AGE - 18 to 64 years
HC03_MOE_VC07,Percent Insured; Margin of Error; AGE - 18 to 64 years
HC04_EST_VC07,Uninsured; Estimate; AGE - 18 to 64 years
HC04_MOE_VC07,Uninsured; Margin of Error; AGE - 18 to 64 years
HC05_EST_VC07,Percent Uninsured; Estimate; AGE - 18 to 64 years
HC05_MOE_VC07,Percent Uninsured; Margin of Error; AGE - 18 to 64 years
HC01_EST_VC08,Total; Estimate; AGE - 18 to 64 years - 18 to 24 years
HC01_MOE_VC08,Total; Margin of Error; AGE - 18 to 64 years - 18 to 24 years
HC02_EST_VC08,Insured; Estimate; AGE - 18 to 64 years - 18 to 24 years
HC02_MOE_VC08,Insured; Margin of Error; AGE - 18 to 64 years - 18 to 24 years
HC03_EST_VC08,Percent Insured; Estimate; AGE - 18 to 64 years - 18 to 24 years
HC03_MOE_VC08,Percent Insured; Margin of Error; AGE - 18 to 64 years - 18 to 24 years
HC04_EST_VC08,Uninsured; Estimate; AGE - 18 to 64 years - 18 to 24 years
HC04_MOE_VC08,Uninsured; Margin of Error; AGE - 18 to 64 years - 18 to 24 years
HC05_EST_VC08,Percent Uninsured; Estimate; AGE - 18 to 64 years - 18 to 24 years
HC05_MOE_VC08,Percent Uninsured; Margin of Error; AGE - 18 to 64 years - 18 to 24 years
HC01_EST_VC09,Total; Estimate; AGE - 18 to 64 years - 25 to 34 years
HC01_MOE_VC09,Total; Margin of Error; AGE - 18 to 64 years - 25 to 34 years
HC02_EST_VC09,Insured; Estimate; AGE - 18 to 64 years - 25 to 34 years
HC02_MOE_VC09,Insured; Margin of Error; AGE - 18 to 64 years - 25 to 34 years
HC03_EST_VC09,Percent Insured; Estimate; AGE - 18 to 64 years - 25 to 34 years
HC03_MOE_VC09,Percent Insured; Margin of Error; AGE - 18 to 64 years - 25 to 34 years
HC04_EST_VC09,Uninsured; Estimate; AGE - 18 to 64 years - 25 to 34 years
HC04_MOE_VC09,Uninsured; Margin of Error; AGE - 18 to 64 years - 25 to 34 years
HC05_EST_VC09,Percent Uninsured; Estimate; AGE - 18 to 64 years - 25 to 34 years
HC05_MOE_VC09,Percent Uninsured; Margin of Error; AGE - 18 to 64 years - 25 to 34 years
HC01_EST_VC10,Total; Estimate; AGE - 18 to 64 years - 35 to 44 years
HC01_MOE_VC10,Total; Margin of Error; AGE - 18 to 64 years - 35 to 44 years
HC02_EST_VC10,Insured; Estimate; AGE - 18 to 64 years - 35 to 44 years
HC02_MOE_VC10,Insured; Margin of Error; AGE - 18 to 64 years - 35 to 44 years
HC03_EST_VC10,Percent Insured; Estimate; AGE - 18 to 64 years - 35 to 44 years
HC03_MOE_VC10,Percent Insured; Margin of Error; AGE - 18 to 64 years - 35 to 44 years
HC04_EST_VC10,Uninsured; Estimate; AGE - 18 to 64 years - 35 to 44 years
HC04_MOE_VC10,Uninsured; Margin of Error; AGE - 18 to 64 years - 35 to 44 years
HC05_EST_VC10,Percent Uninsured; Estimate; AGE - 18 to 64 years - 35 to 44 years
HC05_MOE_VC10,Percent Uninsured; Margin of Error; AGE - 18 to 64 years - 35 to 44 years
HC01_EST_VC11,Total; Estimate; AGE - 18 to 64 years - 45 to 54 years
HC01_MOE_VC11,Total; Margin of Error; AGE - 18 to 64 years - 45 to 54 years
HC02_EST_VC11,Insured; Estimate; AGE - 18 to 64 years - 45 to 54 years
HC02_MOE_VC11,Insured; Margin of Error; AGE - 18 to 64 years - 45 to 54 years
HC03_EST_VC11,Percent Insured; Estimate; AGE - 18 to 64 years - 45 to 54 years
HC03_MOE_VC11,Percent Insured; Margin of Error; AGE - 18 to 64 years - 45 to 54 years
HC04_EST_VC11,Uninsured; Estimate; AGE - 18 to 64 years - 45 to 54 years
HC04_MOE_VC11,Uninsured; Margin of Error; AGE - 18 to 64 years - 45 to 54 years
HC05_EST_VC11,Percent Uninsured; Estimate; AGE - 18 to 64 years - 45 to 54 years
HC05_MOE_VC11,Percent Uninsured; Margin of Error; AGE - 18 to 64 years - 45 to 54 years
HC01_EST_VC12,Total; Estimate; AGE - 18 to 64 years - 55 to 64 years
HC01_MOE_VC12,Total; Margin of Error; AGE - 18 to 64 years - 55 to 64 years
HC02_EST_VC12,Insured; Estimate; AGE - 18 to 64 years - 55 to 64 years
HC02_MOE_VC12,Insured; Margin of Error; AGE - 18 to 64 years - 55 to 64 years
HC03_EST_VC12,Percent Insured; Estimate; AGE - 18 to 64 years - 55 to 64 years
HC03_MOE_VC12,Percent Insured; Margin of Error; AGE - 18 to 64 years - 55 to 64 years
HC04_EST_VC12,Uninsured; Estimate; AGE - 18 to 64 years - 55 to 64 years
HC04_MOE_VC12,Uninsured; Margin of Error; AGE - 18 to 64 years - 55 to 64 years
HC05_EST_VC12,Percent Uninsured; Estimate; AGE - 18 to 64 years - 55 to 64 years
HC05_MOE_VC12,Percent Uninsured; Margin of Error; AGE - 18 to 64 years - 55 to 64 years
HC01_EST_VC13,Total; Estimate; AGE - 65 years and older
HC01_MOE_VC13,Total; Margin of Error; AGE - 65 years and older
HC02_EST_VC13,Insured; Estimate; AGE - 65 years and older
HC02_MOE_VC13,Insured; Margin of Error; AGE - 65 years and older
HC03_EST_VC13,Percent Insured; Estimate; AGE - 65 years and older
HC03_MOE_VC13,Percent Insured; Margin of Error; AGE - 65 years and older
HC04_EST_VC13,Uninsured; Estimate; AGE - 65 years and older
HC04_MOE_VC13,Uninsured; Margin of Error; AGE - 65 years and older
HC05_EST_VC13,Percent Uninsured; Estimate; AGE - 65 years and older
HC05_MOE_VC13,Percent Uninsured; Margin of Error; AGE - 65 years and older
HC01_EST_VC14,Total; Estimate; AGE - 65 years and older - 65 to 74 years
HC01_MOE_VC14,Total; Margin of Error; AGE - 65 years and older - 65 to 74 years
HC02_EST_VC14,Insured; Estimate; AGE - 65 years and older - 65 to 74 years
HC02_MOE_VC14,Insured; Margin of Error; AGE - 65 years and older - 65 to 74 years
HC03_EST_VC14,Percent Insured; Estimate; AGE - 65 years and older - 65 to 74 years
HC03_MOE_VC14,Percent Insured; Margin of Error; AGE - 65 years and older - 65 to 74 years
HC04_EST_VC14,Uninsured; Estimate; AGE - 65 years and older - 65 to 74 years
HC04_MOE_VC14,Uninsured; Margin of Error; AGE - 65 years and older - 65 to 74 years
HC05_EST_VC14,Percent Uninsured; Estimate; AGE - 65 years and older - 65 to 74 years
HC05_MOE_VC14,Percent Uninsured; Margin of Error; AGE - 65 years and older - 65 to 74 years
HC01_EST_VC15,Total; Estimate; AGE - 65 years and older - 75 years and older
HC01_MOE_VC15,Total; Margin of Error; AGE - 65 years and older - 75 years and older
HC02_EST_VC15,Insured; Estimate; AGE - 65 years and older - 75 years and older
HC02_MOE_VC15,Insured; Margin of Error; AGE - 65 years and older - 75 years and older
HC03_EST_VC15,Percent Insured; Estimate; AGE - 65 years and older - 75 years and older
HC03_MOE_VC15,Percent Insured; Margin of Error; AGE - 65 years and older - 75 years and older
HC04_EST_VC15,Uninsured; Estimate; AGE - 65 years and older - 75 years and older
HC04_MOE_VC15,Uninsured; Margin of Error; AGE - 65 years and older - 75 years and older
HC05_EST_VC15,Percent Uninsured; Estimate; AGE - 65 years and older - 75 years and older
HC05_MOE_VC15,Percent Uninsured; Margin of Error; AGE - 65 years and older - 75 years and older
HC01_EST_VC17,Total; Estimate; 19 to 25 years
HC01_MOE_VC17,Total; Margin of Error; 19 to 25 years
HC02_EST_VC17,Insured; Estimate; 19 to 25 years
HC02_MOE_VC17,Insured; Margin of Error; 19 to 25 years
HC03_EST_VC17,Percent Insured; Estimate; 19 to 25 years
HC03_MOE_VC17,Percent Insured; Margin of Error; 19 to 25 years
HC04_EST_VC17,Uninsured; Estimate; 19 to 25 years
HC04_MOE_VC17,Uninsured; Margin of Error; 19 to 25 years
HC05_EST_VC17,Percent Uninsured; Estimate; 19 to 25 years
HC05_MOE_VC17,Percent Uninsured; Margin of Error; 19 to 25 years
HC01_EST_VC20,Total; Estimate; SEX - Male
HC01_MOE_VC20,Total; Margin of Error; SEX - Male
HC02_EST_VC20,Insured; Estimate; SEX - Male
HC02_MOE_VC20,Insured; Margin of Error; SEX - Male
HC03_EST_VC20,Percent Insured; Estimate; SEX - Male
HC03_MOE_VC20,Percent Insured; Margin of Error; SEX - Male
HC04_EST_VC20,Uninsured; Estimate; SEX - Male
HC04_MOE_VC20,Uninsured; Margin of Error; SEX - Male
HC05_EST_VC20,Percent Uninsured; Estimate; SEX - Male
HC05_MOE_VC20,Percent Uninsured; Margin of Error; SEX - Male
HC01_EST_VC21,Total; Estimate; SEX - Female
HC01_MOE_VC21,Total; Margin of Error; SEX - Female
HC02_EST_VC21,Insured; Estimate; SEX - Female
HC02_MOE_VC21,Insured; Margin of Error; SEX - Female
HC03_EST_VC21,Percent Insured; Estimate; SEX - Female
HC03_MOE_VC21,Percent Insured; Margin of Error; SEX - Female
HC04_EST_VC21,Uninsured; Estimate; SEX - Female
HC04_MOE_VC21,Uninsured; Margin of Error; SEX - Female
HC05_EST_VC21,Percent Uninsured; Estimate; SEX - Female
HC05_MOE_VC21,Percent Uninsured; Margin of Error; SEX - Female
HC01_EST_VC24,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC01_MOE_VC24,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC02_EST_VC24,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC02_MOE_VC24,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC03_EST_VC24,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC03_MOE_VC24,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC04_EST_VC24,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC04_MOE_VC24,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC05_EST_VC24,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC05_MOE_VC24,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - White alone
HC01_EST_VC25,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC01_MOE_VC25,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC02_EST_VC25,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC02_MOE_VC25,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC03_EST_VC25,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC03_MOE_VC25,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC04_EST_VC25,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC04_MOE_VC25,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC05_EST_VC25,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC05_MOE_VC25,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Black or African American alone
HC01_EST_VC26,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC01_MOE_VC26,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC02_EST_VC26,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC02_MOE_VC26,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC03_EST_VC26,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC03_MOE_VC26,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC04_EST_VC26,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC04_MOE_VC26,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC05_EST_VC26,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC05_MOE_VC26,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - American Indian and Alaska Native alone
HC01_EST_VC27,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC01_MOE_VC27,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC02_EST_VC27,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC02_MOE_VC27,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC03_EST_VC27,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC03_MOE_VC27,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC04_EST_VC27,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC04_MOE_VC27,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC05_EST_VC27,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC05_MOE_VC27,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Asian alone
HC01_EST_VC28,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC01_MOE_VC28,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC02_EST_VC28,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC02_MOE_VC28,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC03_EST_VC28,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC03_MOE_VC28,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC04_EST_VC28,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC04_MOE_VC28,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC05_EST_VC28,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC05_MOE_VC28,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Native Hawaiian and Other Pacific Islander alone
HC01_EST_VC29,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC01_MOE_VC29,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC02_EST_VC29,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC02_MOE_VC29,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC03_EST_VC29,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC03_MOE_VC29,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC04_EST_VC29,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC04_MOE_VC29,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC05_EST_VC29,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC05_MOE_VC29,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Some other race alone
HC01_EST_VC30,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC30,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC30,Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC30,Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC30,Percent Insured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC30,Percent Insured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_EST_VC30,Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC30,Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_EST_VC30,Percent Uninsured; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC05_MOE_VC30,Percent Uninsured; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC32,Total; Estimate; Hispanic or Latino (of any race)
HC01_MOE_VC32,Total; Margin of Error; Hispanic or Latino (of any race)
HC02_EST_VC32,Insured; Estimate; Hispanic or Latino (of any race)
HC02_MOE_VC32,Insured; Margin of Error; Hispanic or Latino (of any race)
HC03_EST_VC32,Percent Insured; Estimate; Hispanic or Latino (of any race)
HC03_MOE_VC32,Percent Insured; Margin of Error; Hispanic or Latino (of any race)
HC04_EST_VC32,Uninsured; Estimate; Hispanic or Latino (of any race)
HC04_MOE_VC32,Uninsured; Margin of Error; Hispanic or Latino (of any race)
HC05_EST_VC32,Percent Uninsured; Estimate; Hispanic or Latino (of any race)
HC05_MOE_VC32,Percent Uninsured; Margin of Error; Hispanic or Latino (of any race)
HC01_EST_VC33,"Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC33,"Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC33,"Insured; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC33,"Insured; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC33,"Percent Insured; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC33,"Percent Insured; Margin of Error; White alone, not Hispanic or Latino"
HC04_EST_VC33,"Uninsured; Estimate; White alone, not Hispanic or Latino"
HC04_MOE_VC33,"Uninsured; Margin of Error; White alone, not Hispanic or Latino"
HC05_EST_VC33,"Percent Uninsured; Estimate; White alone, not Hispanic or Latino"
HC05_MOE_VC33,"Percent Uninsured; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC36,Total; Estimate; LIVING ARRANGEMENTS - In family households
HC01_MOE_VC36,Total; Margin of Error; LIVING ARRANGEMENTS - In family households
HC02_EST_VC36,Insured; Estimate; LIVING ARRANGEMENTS - In family households
HC02_MOE_VC36,Insured; Margin of Error; LIVING ARRANGEMENTS - In family households
HC03_EST_VC36,Percent Insured; Estimate; LIVING ARRANGEMENTS - In family households
HC03_MOE_VC36,Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In family households
HC04_EST_VC36,Uninsured; Estimate; LIVING ARRANGEMENTS - In family households
HC04_MOE_VC36,Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households
HC05_EST_VC36,Percent Uninsured; Estimate; LIVING ARRANGEMENTS - In family households
HC05_MOE_VC36,Percent Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households
HC01_EST_VC37,Total; Estimate; LIVING ARRANGEMENTS - In family households - In married couple families
HC01_MOE_VC37,Total; Margin of Error; LIVING ARRANGEMENTS - In family households - In married couple families
HC02_EST_VC37,Insured; Estimate; LIVING ARRANGEMENTS - In family households - In married couple families
HC02_MOE_VC37,Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In married couple families
HC03_EST_VC37,Percent Insured; Estimate; LIVING ARRANGEMENTS - In family households - In married couple families
HC03_MOE_VC37,Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In married couple families
HC04_EST_VC37,Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In married couple families
HC04_MOE_VC37,Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In married couple families
HC05_EST_VC37,Percent Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In married couple families
HC05_MOE_VC37,Percent Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In married couple families
HC01_EST_VC38,Total; Estimate; LIVING ARRANGEMENTS - In family households - In other families
HC01_MOE_VC38,Total; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families
HC02_EST_VC38,Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families
HC02_MOE_VC38,Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families
HC03_EST_VC38,Percent Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families
HC03_MOE_VC38,Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families
HC04_EST_VC38,Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families
HC04_MOE_VC38,Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families
HC05_EST_VC38,Percent Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families
HC05_MOE_VC38,Percent Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families
HC01_EST_VC39,"Total; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC01_MOE_VC39,"Total; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC02_EST_VC39,"Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC02_MOE_VC39,"Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC03_EST_VC39,"Percent Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC03_MOE_VC39,"Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC04_EST_VC39,"Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC04_MOE_VC39,"Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC05_EST_VC39,"Percent Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC05_MOE_VC39,"Percent Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Male householder, no wife present"
HC01_EST_VC40,"Total; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC01_MOE_VC40,"Total; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC02_EST_VC40,"Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC02_MOE_VC40,"Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC03_EST_VC40,"Percent Insured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC03_MOE_VC40,"Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC04_EST_VC40,"Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC04_MOE_VC40,"Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC05_EST_VC40,"Percent Uninsured; Estimate; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC05_MOE_VC40,"Percent Uninsured; Margin of Error; LIVING ARRANGEMENTS - In family households - In other families - Female householder, no husband present"
HC01_EST_VC41,Total; Estimate; LIVING ARRANGEMENTS - In non-family households and other living arrangements
HC01_MOE_VC41,Total; Margin of Error; LIVING ARRANGEMENTS - In non-family households and other living arrangements
HC02_EST_VC41,Insured; Estimate; LIVING ARRANGEMENTS - In non-family households and other living arrangements
HC02_MOE_VC41,Insured; Margin of Error; LIVING ARRANGEMENTS - In non-family households and other living arrangements
HC03_EST_VC41,Percent Insured; Estimate; LIVING ARRANGEMENTS - In non-family households and other living arrangements
HC03_MOE_VC41,Percent Insured; Margin of Error; LIVING ARRANGEMENTS - In non-family households and other living arrangements
